100-51-6|Benzyl alcohol |bird - wild|LD50|oral|100mg/kg (100mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 21, Pg. 315, 1972.
100-51-6|Benzyl alcohol |cat|LDLo|intravenous|625mg/kg (625mg/kg)| |Journal of Pharmacology and Experimental Therapeutics.  Vol. 16, Pg. 1, 1920.
100-51-6|Benzyl alcohol |cat|LDLo|skin|10gm/kg (10000mg/kg)|GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDSBEHAVIORAL: MUSCLE WEAKNESSBEHAVIORAL: TREMOR|Journal of Pharmacology and Experimental Therapeutics.  Vol. 84, Pg. 358, 1945.
100-51-6|Benzyl alcohol |dog|LDLo|intravenous|50mg/kg (50mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: ATAXIAGASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
100-51-6|Benzyl alcohol |dog|LDLo|parenteral|9mg/kg (9mg/kg)|BEHAVIORAL: TREMORLUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|Toxicology and Applied Pharmacology.  Vol. 25, Pg. 153, 1973.
100-51-6|Benzyl alcohol |guinea pig|LD50|oral|2500mg/kg (2500mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 50(7), Pg. 81, 1985.
100-51-6|Benzyl alcohol |mouse|LD50|intraperitoneal|650mg/kg (650mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Journal of Pharmaceutical Sciences.  Vol. 75, Pg. 702, 1986.
100-51-6|Benzyl alcohol |mouse|LD50|intravenous|324mg/kg (324mg/kg)| |Archives Internationales de Pharmacodynamie et de Therapie.  Vol. 135, Pg. 330, 1962.
100-51-6|Benzyl alcohol |mouse|LD50|oral|1360mg/kg (1360mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 50(7), Pg. 81, 1985.
100-51-6|Benzyl alcohol |rabbit|LD50|oral|1040mg/kg (1040mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Journal of Pharmacology and Experimental Therapeutics.  Vol. 84, Pg. 358, 1945.
100-51-6|Benzyl alcohol |rabbit|LD50|skin|2gm/kg (2000mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 6, 1974.
100-51-6|Benzyl alcohol |rat|LCLo|inhalation|1000ppm/8H (1000ppm)| |AMA Archives of Industrial Hygiene and Occupational Medicine.  Vol. 4, Pg. 119, 1951.
100-51-6|Benzyl alcohol |rat|LD50|intraarterial|441mg/kg (441mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEALUNGS, THORAX, OR RESPIRATION: CHRONIC PULMONARY EDEMA|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
100-51-6|Benzyl alcohol |rat|LD50|intraperitoneal|400mg/kg (400mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 6, 1974.
100-51-6|Benzyl alcohol |rat|LD50|intravenous|53mg/kg (53mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEA|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
100-51-6|Benzyl alcohol |rat|LD50|oral|1230mg/kg (1230mg/kg)|BEHAVIORAL: COMABEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)BEHAVIORAL: EXCITEMENT|Food and Cosmetics Toxicology.  Vol. 2, Pg. 327, 1964.
100-51-6|Benzyl alcohol |rat|LDLo|subcutaneous|1700mg/kg (1700mg/kg)|BEHAVIORAL: COMAKIDNEY, URETER, AND BLADDER: OTHER CHANGES SENSE ORGANS AND SPECIAL SENSES: MIOSIS (PUPILLARY CONSTRICTION): EYE|Revue Medicale de la Suisse Romande.  Vol. 15, Pg. 561, 1895.
10102-17-7||dog|LDLo|intravenous|3gm/kg (3000mg/kg)|CARDIAC: PULSE RATE INCREASE WITHOUT FALL IN BPVASCULAR: BP ELEVATION NOT CHARACTERIZED IN AUTONOMIC SECTIONLUNGS, THORAX, OR RESPIRATION: RESPIRATORY STIMULATION|Cancer Chemotherapy Reports.  Vol. 50, Pg. 255, 1966.
10102-17-7||human|TDLo|oral|300mg/kg/7D (300mg/kg)|LUNGS, THORAX, OR RESPIRATION: CYANOSIS|Tohoku Journal of Experimental Medicine.  Vol. 63, Pg. 383, 1956.
10102-17-7||mouse|LD50|intraperitoneal|5600mg/kg (5600mg/kg)| |Arzneimittel-Forschung. Drug Research.  Vol. 31, Pg. 1713, 1981.
10102-17-7||mouse|LD50|intravenous|2350mg/kg (2350mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESBEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: ATAXIA|Kiso to Rinsho.  Clinical Report.  Vol. 13, Pg. 89, 1979.
10102-17-7||rat|LD50|intravenous|> 2500mg/kg (2500mg/kg)| |Yakkyoku.  Pharmacy.  Vol. 31, Pg. 959, 1980.
10213-79-3||rat|LD50|oral|847mg/kg (847mg/kg)| |National Technical Information Service.  Vol. OTS0571941, 
102-71-6||guinea pig|LD50|oral|2200mg/kg (2200mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 114, 1982.
102-71-6||mammal (species unspecified)|LDLo|oral|2gm/kg (2000mg/kg)| |National Technical Information Service.  Vol. OTS0520710, 
102-71-6||mouse|LD50|intraperitoneal|1450mg/kg (1450mg/kg)| |Russian Chemical Reviws Vol. 38, Pg. 975, 1969.
